"Weight" "Disp."
"1" 2560 0.97
"2" 2345 114
"3" 1845 0.81
"4" 2260 0.91
"5" 2440 113
"6" 2285 0.97
"7" 2275 0.97
"8" 2350 0.98
"9" 2295 109
"10" 1900 0.73
"11" 2390 0.97
"12" 2075 0.89
"13" 2330 109
"14" 3320 305
"15" 2885 153
"16" 3310 302
"17" 2695 133
"18" 2170 0.97
"19" 2710 125
"20" 2775 146
"21" 2840 107
"22" 2485 109
"23" 2670 121
"24" 2640 151
"25" 2655 133
"26" 3065 181
"27" 2750 141
"28" 2920 132
"29" 2780 133
"30" 2745 122
"31" 3110 181
"32" 2920 146
"33" 2645 151
"34" 2575 116
"35" 2935 135
"36" 2920 122
"37" 2985 141
"38" 3265 163
"39" 2880 151
"40" 2975 153
"41" 3450 202
"42" 3145 180
"43" 3190 182
"44" 3610 232
"45" 2885 143
"46" 3480 180
"47" 3200 180
"48" 2765 151
"49" 3220 189
"50" 3480 180
"51" 3325 231
"52" 3855 305
"53" 3850 302
"54" 3195 151
"55" 3735 202
"56" 3665 182
"57" 3735 181
"58" 3415 143
"59" 3185 146
"60" 3690 146
